二月，李听袭海州，克东海、朐山、怀仁等县	二月，李听出兵袭击海州，攻克东海、朐山、怀仁等县
全忠寻表师厚为山南东道节度使	不久，朱全忠上表奏请任命杨师厚为山南东道节度使
乙酉，诏更用十一月癸酉亲郊	乙酉亲自举行郊祀
淮南将陶雅、陈璋拔婺州，执刺史沈夏以归	淮南将领陶雅、陈璋夺取婺州，活捉刺史沈夏而回
杨行密以雅为江南都招讨使，歙、婺、衢、睦观察使；以璋为衢、婺副招讨使	杨行密任命陶雅为江南都招讨使，歙、婺、衢、睦观察使；任命陈璋为衢、婺副招讨使
璋攻暨阳，两浙将方习败之	陈璋攻打暨阳，两浙将领方习把他打败
习进攻婺州	方习进攻婺州
濠州团练使刘金卒，杨行密以金子仁规知濠州	濠州团练使刘金去世，杨行密任命刘金的儿子刘仁规主持濠州事务
杨行密长子宣州观察使渥，素无令誉，军府轻之	杨行密的长子宣州观察使杨渥，向来没有好名声，节度使府的人都轻视他
行密寝疾，命节度判官周隐召渥	杨行密卧病，派遣节度判官周隐前去召回杨渥
隐性直，对曰：宣州司徒轻易信馋，喜击球饮酒，非保家之主；余子皆幼，未能驾驭诸将	周隐为人愚直，回答说：宣州司徒杨渥轻易听信谗言，喜好击球饮酒，不是保家的主人，其余的儿子都幼小，不能控制各位将领
庐州刺史刘威，从王起细微，必不负王，不若使之权领军府，俟诸子长以授之	庐州刺史刘威，跟随您从低贱时兴起，一定不辜负您，不如让他暂时代领军府事务，等到诸子长大再传授给他们
行密不应	杨行密不应声
左右牙指挥使徐温、张颢言于行密曰：王平生出万死，冒矢石，为子孙立基业，安可使他人有之	左右牙指挥使徐温、张颢对杨行密说：您一生出万死，冒箭石，为子孙建立基业，怎么能让别人占有它呢
行密曰：吾死瞑目矣	杨行密说：我死也瞑目了
隐，舒州人也	周隐是舒州人
冬，十月，丙戌湖，以朱全忠为诸道兵马元帅，别开幕府	冬季，十月丙戌朔，朝廷任命朱全忠为诸道兵马元帅，另外开设元帅府
改昭信军为戎昭军	朝廷改昭信军为戎昭军
起居郎苏楷，礼部尚书循之子也，素无才行，乾宁中登进士第，昭宗覆试黜之，仍永不听入科场	起居郎苏楷是礼部尚书苏循的儿子，向来既无才能，又无品行，乾宁年间考中进士，昭宗复试将他贬斥，并且永远不准他再入科场考试
甲午，楷帅同列上言：谥号美恶，臣子不得而私	甲午，苏楷率领同僚奏言：谥号美恶，臣子不能私定
先帝谥号多溢美，乞更详议	先帝的谥号大多溢美之词，乞求再详细商议
事下太常，丁酉，张廷范奏改谥恭灵庄愍孝皇帝，庙号襄宗，诏从之	这件事下达太常去办，丁酉，张廷范奏请改昭宗谥号为恭灵庄愍孝皇帝，庙号为襄宗，诏令依从张廷范的建议
杨渥至广陵	杨行密的长子宣州观察使杨渥到达广陵
辛丑，杨行密承制以渥为淮南留后	辛丑，杨行密承制任命杨渥为淮南留后
戊申，朱全忠发光州，迷失道百余里，又遇雨，比及寿州，寿人坚壁清野以待之	戊申，朱全忠从光州出发，迷失道路一百余里，又遇雨，等到抵达寿州，寿州兵民已经坚壁清野来等待他
全忠欲围之，无林木可为栅，乃退屯正阳	朱全忠想要包围寿州城，但没有树木可以用来修建栅栏，于是退兵驻扎正阳
癸丑，更名成德军曰武顺	癸丑，朝廷将成德军改名为武顺
十一月，丙辰，朱全忠渡淮而北，柴再用抄其后军，斩首三千级，获辎重万计	十一月丙辰，朱全忠渡过淮河往北去，光州刺史柴再用绕道袭击他的后军，斩首三千级，获得器械粮草数以万计
全忠悔之，躁忿尤甚	朱全忠后悔此行，暴躁发怒格外厉害
丁卯，至大梁	丁卯，朱全忠到达大梁
壬申，赵匡明到成都，王建以客礼遇之	壬申，赵匡明到成都，王建用客礼招待他
庚辰，吴武忠王杨行密薨	庚辰，吴武忠王杨行密病逝
将佐共请宣谕使李俨制授杨渥淮南节度使、东南诸道行营都统，兼侍中、弘农郡王	淮南将佐共同请求宣谕使李俨承制任命杨渥为淮南节度使、东南诸道行营都统，兼侍中、弘农郡王
杨渥之去宣州也，欲取其幄幕及亲兵以行，观察使王茂章不与，渥怒	杨渥离开宣州时，想要带着他的帐幕及亲兵起程，观察使王茂章不同意，杨渥怨怒
既袭位，遣马步都指挥使李简等将兵袭之	袭位以后，派遣马步都指挥使李简等率兵袭击王茂章
湖南兵寇淮南，淮南牙内指挥使杨彪击却之	湖南军队侵犯淮南，淮南牙内指挥使杨彪把湖南军队击退
	三年
春，正月，壬戌，灵武节度使韩逊奏吐蕃七千余骑营于宗高谷，将击末及取凉州	春季，正月壬戌，灵武节度使韩逊奏报吐蕃七千余骑兵在宗高谷扎营，将要攻击末及攻取凉
李简兵奄至宣州，王茂章度不能守，帅众奔两浙	李简的军队突然到达宣州，王茂章估计不能守住，率众投奔两浙
亲兵上蔡刁彦能辞以母老，不从行，登城谕众曰：王府命我招谕汝曹，大兵行至矣	亲兵上蔡人刁彦能以母亲年老推辞，不跟从同行，登城告诉兵众说：王府命我召集告谕你们，大兵就要到了
众由是定	众人因此安定下来
陶雅畏茂章断其归路，引兵还歙州，钱复取睦州	陶雅害怕王茂章断绝他的归路，带兵回歙州，钱又夺取睦州
以茂章为镇东节度副使，更名景仁	钱任命王茂章担任镇东节度副使，改名王景仁
乙丑，加静海节度使曲承裕同平章事	乙丑，静海节度使曲承裕加官同平章事
辛未，以权知宁远留后庞巨昭、岭南西道留后叶广略并为节度使	辛未，朝廷任命暂时为宁远留后事务的庞巨昭、岭南西道留后叶广略同时为节度使
庚辰，钱如睦州	庚辰，钱前往睦州
西川将王宗阮攻归州，获其将韩从实	西川将领王宗阮攻打归州，俘获归州将领韩从实
陈璋闻陶雅归歙，自婺州退保衢州	陈璋听说陶雅回歙州，自婺州退走保卫衢州
两浙将方永珍等取婺州，进攻衢州	两浙将领方永珍等攻取婺州，进攻衢州
戊寅，以朱全忠为盐铁、度支、户部三司都制置使	戊寅，朝廷任命朱全忠为盐铁、度支、户部三司都制置使
三司之名始于此	三司之名开始于此时
全忠辞不受	朱全忠辞谢不接受
夏，四月，癸未朔，明有食之	夏季，四月癸未朔，发生日食
罗绍威既诛牙军，魏之诸军皆惧，绍威虽抚数谕之，而猜怨益甚	罗绍威消灭牙军后，魏博各军都非常害怕，罗绍威虽然屡次安抚晓谕他们，但猜疑怨恨更加厉害
朱全忠营于魏州城东数旬，将北巡行营，会天雄牙将史仁遇作乱，聚众数万据高唐，自称留后，天雄巡内诸县多应之	朱全忠在魏州城东扎营数十天，将要北上巡视行营，恰巧天雄牙将史仁遇作乱，聚众数万，占据高唐，自称天雄留后，天雄巡内各县多数响应他
全忠移军入城，遣使召行营兵还攻高唐，至历亭，魏兵在行营者作乱，与仁遇相应	朱全忠把军队移入魏州城内，派遣使者召唤行营兵回来攻高唐；行营兵到达历亭，其中的魏兵作乱，与史仁遇相呼应
元帅府左司马李周彝、右司马苻道昭击之，所杀殆半，进攻高唐，克之，城中兵民无少长皆死	元帅府左司马李周彝、右司马符道昭攻击作乱魏兵，杀死近一半，又进攻高唐，将城夺取，城中兵民无论年少年长全都死了
擒史仁遇，锯杀之	活捉了史仁遇，用据把他锯死了
镇南节度使钟传以养子延规为江州刺史	镇南节度使钟传任命养子钟延规为江州刺史
传薨，军中立其子匡时为留后	钟传去世，军中立钟传的儿子匡时为留后
延规恨不得立，遣使降淮南	钟延规怨恨不立自己为留后，派遣使者投降淮南
五月，丁巳，朱全忠如州，遂巡北边，视戎备，还，入于魏	五月丁巳，朱全忠前往州，于是巡视北边，察看兵器装备，然后返回，进入魏州
丙子、废戎昭军，并均、房隶忠义军；以武定节度使冯行袭为匡国节度使	丙子，撤销戎昭军，均州、房州合并属忠义军；任命武定节度使冯行袭为匡国节度使
杨渥以州刺史秦裴为西南行营都招讨使，将兵击钟匡时于江西	杨渥任命州刺史秦裴为西南行营都招讨使，率兵在江西攻击镇南留后钟匡时
六月，甲申，复以忠义军为山南东道	六月甲申，又恢复忠义军为山南东道
朱全忠以长安邻于、岐，数有战争，奏徙佑国节度使韩建于淄青，以淄青节度使长社王重师为佑国节度使	朱全忠以长安与州，岐州相邻，屡有战争，上奏将佑国节度使韩建调到淄青，任命淄青节度使长社人王师重为佑国节度使
秋，七月，朱全忠克相州	秋季，七月，朱全忠攻克相州
时魏之乱兵散据贝、博、澶、相、卫州，全忠分命诸将攻讨，至是悉平之，引兵南还	当时魏博乱兵散据贝、博、澶、相、卫五州，朱全忠分别派遣诸将攻击讨伐，到这时全都平定了，于是带兵回河南
八月，乙酉，李茂贞遣其子侃为质于西川；王建以侃知彭州	八月乙酉，李茂贞派遣他的儿子李侃到西川作人质；王建让李侃主持彭州事务
朱全忠以幽、沧相首尾为魏患，欲先取沧州，甲辰，引兵发大梁	朱全忠认为幽州刘仁恭、沧州刘守文父子相为首尾是魏州罗绍威的威胁，想要先攻取沧州；甲辰，率领军队从大梁出发
两浙兵围衢州，衢州刺史陈璋告急于淮南，杨渥遣左厢马步都虞候周本将兵迎璋	两浙的军队包围衢州，衢州刺史陈璋向淮南告急，杨渥派遣左厢马步都虞候周本率兵迎接陈璋
本至衢州，浙人解围，陈于城下，璋帅众归于本，两浙兵取衢州	周本到达衢州，浙人解除包围，在城下列阵，陈璋率众归于周本，两浙军队夺取衢州
吕师造曰：浙人近我而不动，轻我也，请击之	吕师造说：浙人离我们很近却不发动进攻，是轻视我们，请攻击他们
本曰：吾受命迎陈使君，今至矣，何为复战	周本说：我受命迎接陈使君，现在他已到了，为什么再战
彼必有以待我也	他们一定有对付我们的办法
遂引兵还	于是带领军队返回
本为之殿，浙人蹑之，本中道设伏，大破之	周本为军队殿后，浙人在后面跟踪，周本中途设下埋伏，把渐军打得大败
九月，辛亥朔，朱全忠自白马渡河，丁卯，至沧州，军于长芦；沧人不出	九月辛亥朔，到沧州，驻扎在长芦县，沧州军队不出战
罗绍威馈运，自魏至长芦五百里，不绝于路；又建元帅府舍于魏，所过驿亭供酒馔、幄幕、什器，上下数十万人，无一不备	罗绍威运送粮饷，自魏州到长芦五百里，路上连续不断；又在魏州建筑元帅府舍，经过的驿亭都供应酒食、帐幕、各种器具，上下数十万人，没有一件不准备周全
秦裴拔洪州，虏钟匡时等五千人以归	秦裴攻克洪州，俘虏钟匡时等五千人而回
杨渥自兼镇南节度使，以裴为洪州制置使	杨渥自己兼任镇南节度使，任命秦裴为洪州制置使
静难节度使杨崇本以凤翔、保塞、彰义、保义之兵攻夏州，匡国节度使刘知俊邀击坊州之兵，斩首三千余级，擒坊州刺史刘彦晖	静难节度使杨崇本用凤翔、保塞、彰义、保义四镇的军队攻打夏州，匡国节度使刘知俊拦击坊州的军队，斩首三千余级，生擒坊州刺史刘彦晖
冬，十月，丙戌，王建始立行台于蜀，建东向舞蹈，号恸，称：自大驾东迁，制命不通，请权立行台，用李晟、郑畋故事，承制封拜	冬季，十月丙戌，王建开始在蜀建立行台，王建面向东方舞拜，放声大哭，声称：自从先帝大驾迁往东都洛阳，制命不能通达，请暂时设立行台，用李晟、郑畋的旧时成例，秉承制令拜官封爵
仍以榜帖告谕所部藩镇州县	并用榜帖文书告知所属藩镇州县
夏州告急于朱全忠；戊戌，全忠遣刘知俊及其将廉怀英救之	夏州向朱全忠告急，戊戌，朱全忠派遣刘知俊及他的部将廉怀英前往援救
杨崇本将六镇之兵五万，军于美原	杨崇本统率六镇的五万军队，在美原驻扎
知俊等击之，崇本大败，归于州	刘知俊等发动攻击，杨崇本被打得大败，回归州
十二月，乙酉，钱表荐行军司马王景仁；诏以景仁领宁国节度使	十二月乙酉，钱上表举荐行军司马王景仁；诏令王景仁兼任宁国节度使
朱全忠分步骑数万，遣行军司马李周彝将之，自河阳救潞州	朱自忠分出步、骑兵数万人，派遣行军司马李周彝率领，自河阳出发救援潞州
闰月，乙丑，废镇国军兴德府复为华州，隶匡国节度，害金、商州隶佑国军	闰十二月乙丑，取消镇国军兴德府，恢复华州，隶属匡国节度，分割金州、商州隶属佑国军
初，昭宗凶讣至潞州，昭义节度使丁会帅将士缟素流涕久之	当初，唐昭宗被杀的恶耗传到潞州，昭义节度使丁会率领将士身穿白色丧服长时间哭泣流泪
