戊辰，唐王以世子建成为左元帅，秦公世民为右元帅，督诸军十余万人救东都	戊辰，唐王以世子李建成为左元帅，秦公李世民为右元帅，率领各路兵马十余万救援东都
左拾遗卢藏用上疏，以为：左右近臣多以顺意为忠，朝廷具僚皆以犯忤为戒，致陛下不知百姓失业，伤陛下之仁	左拾遗卢藏用上疏认为：陛下左右的近臣大多把顺从您的心意当作忠诚，朝廷臣僚又都把违逆触犯您的旨意奉为戒条，致使陛下不了解百姓已经因此而失去了谋生的常业，从而有损于陛下的仁德
陛下诚能以劳人为辞，发制罢之，则天下皆知陛下苦己而爱人也	假如陛下真能以劳累百姓为理由，颁发制书下令停止这项工程，那么天下百姓就会都知道陛下爱护百姓甘愿自己吃苦的美德了
不从	武则天不听
藏用，承庆之弟孙也	卢藏用是卢承庆之弟的孙子
壬子，以天官侍郎韦嗣立为凤阁侍郎、同平章事	壬子，武则天任命天官侍郎韦嗣立为凤阁侍郎、同平章事
夏官侍郎、同凤阁鸾台三品李迥秀颇受贿赂，监察御史马怀素劾奏之	夏官侍郎、同凤阁鸾台三品李迥秀广收贿赂，监察御史马怀素上奏章弹劾他
二月，癸亥，迥秀贬庐州刺史	二月，癸亥，武则天将李迥秀贬为庐州刺史
壬申，正谏大夫，同平章事朱敬则以老疾致仕	壬申，正谏大夫、同平章事朱敬则因年老多病而退休
敬则为相，以用人为先，自余细务不之视	朱敬则作宰相，把任用人才放在首位，除此之外的琐碎事务则不过问
丁丑，徙平恩王重福为谯王	丁丑，改封平恩王李重福为谯王
以夏官侍郎宗楚客同平章事	武则天任命夏官侍郎宗楚客为同平章事
凤阁侍郎、同凤阁鸾台三品苏味道谒归葬其父，制州县供葬事	凤阁侍郎、同凤阁鸾台三品苏味道请求回乡安葬他死去的父亲，武则天颁下制书，要求当地州县负责供给安葬所需的物品、人力
味道因之侵毁乡人墓田，役使过度，监察御史萧至忠劾奏之，左迁坊州刺史	苏味道趁机侵占毁坏同乡百姓的坟墓田地，并且役使当地百姓超过了限度，监察御史萧至忠上奏弹劾他，武则天于是将他降职为坊州刺史
至忠，引之玄孙也	萧至忠是萧引之的玄孙
夏，四月，壬戌，同凤阁鸾台三品韦安石知纳言，李峤知内史事	夏季，四月，壬戌，武则天指派同凤阁鸾台三品韦安石掌管纳言事务，李峤掌管内史事务
太后幸兴泰宫	武则天到兴泰宫
太后复税天下僧尼，作大像于白司马阪，令春官尚书武攸宁检校，糜费巨亿	武则天再一次向全国的和尚、尼姑征税，在洛城以北的白司马阪建造大佛像，命令春官尚书武攸宁主持这一工程，耗费的资财人力十分巨大
李峤上疏，以为：天下编户，贫弱者众	李峤上疏认为：全国编入户籍的平民百姓，贫困潦倒无以为生的很多
造像钱见有一十七万余缗，若将散施，人与一千，济得一十七万余户	现已筹集到的用于建造大佛像的钱有十七万余缗，如果用来分散施舍穷苦百姓，每人给钱一千的话，也可救济十七万多户
拯饥寒之弊，省劳役之勤，顺诸佛慈悲之心，沾圣君亭育之意，人神胥悦，功德无穷	拯救百姓饥寒之苦，减少臣民劳役之勤，既顺乎佛祖慈悲为怀的本心，又可使人们蒙受圣明天子抚养培育的恩惠，这将使人神皆大欢喜，功德无穷
方作过后因缘，岂如见在果报	陛下修造佛像以成就来世的因缘，哪里比得上赈济百姓以求得现世的效应呢
监察御史张廷上疏谏曰：臣以时政论之，则宜先边境，蓄府库，养人力；以释教论之，则宜救苦厄，灭诸相，崇无为	监察御史张廷也上疏谏阻道：臣从当前治理国家的需要来说，则应首先考虑边境地区的防务，增加国库储备，使百姓得以休养生息；从佛教教义方面来看，则应当拯救众生的苦难，消除各种追求形象的做法，崇尚清静无为
伏愿陛下察臣之愚，行佛之意，务以理为上，不以人废言	恳切地希望陛下能够体察臣的愚见，执行佛祖的旨意，一定要把是否有理放在首位，而不是因人废言
太后为之罢役，仍召见廷，深赏慰之	武则天因此而停止了修建大佛像的工程，并且召见张廷，表达对他的赞赏与抚慰之情
乙丑，以天官侍郎崔玄同平章事	乙丑，武则天任命天官侍郎崔玄为同平章事
召凤阁侍郎、同平章事、检校汴州刺史韦嗣立赴兴泰宫	武则天征召凤阁侍郎、同平章事、检校汴州刺史韦嗣立前往兴泰宫
丁丑，以李峤同凤阁鸾台三品	丁丑，武则天任命李峤为同凤阁鸾台三品
峤自请解内史	李峤自己请求解除他的内史职务
壬午，以相王府长史姚元崇兼知夏官尚书、同凤阁鸾台三品	壬午，武则天任命相王府长史姚元崇兼任夏官尚书、同凤阁鸾台三品
秋，七月，丙戌，以神都副留守杨再思为内史	秋季，七月，丙戌，武则天任命神都副留守杨再思为内史
甲午，太后还宫	甲午，武则天回到宫中
乙未，司礼少卿张同休、汴州刺史张昌期、尚方少监张昌仪皆坐赃下狱，命左右台共鞫之；丙申，敕，张易之、张昌宗作威作福，亦命同鞫	乙未，司礼少卿张同休、汴州刺史张昌期、尚方少监张昌仪都因犯有贪赃罪而被捕下狱
辛丑，司刑正贾敬言奏：张昌宗强市人田，应征铜二十斤	武则天命令左右台共同审理此案；丙申，武则天颁下敕书，认为张易之、张昌宗专行赏罚，独揽威权，应当与张同休等人并案审理
制可	辛丑，司刑正贾敬言上奏说：张昌宗强行收买民田，应当向他征收黄铜二十斤
乙巳，御史大夫李承嘉、中丞桓彦范奏：张同休兄弟赃共四千余缗，张昌宗法应免官	武则天颁下制书说：可以
昌宗奏：臣有功于国，所犯不至免官	乙巳，御史大夫李承嘉、御史中丞桓彦范上奏道：张同休兄弟共贪赃钱四千余缗，依法应判处张昌宗免官
太后问诸宰相：昌宗有功	张昌宗上奏申辩说：臣为国家立过功
丙午，夏官侍郎、同平章事宗楚客有罪，左迁原州都督，充灵武道行军大总管	丙午，夏官侍郎、同平章事宗楚客因有罪而被降职为原州都督，充任灵武道行军大总管
癸丑，张同休贬岐山丞，张昌仪贬博望丞	癸丑，武则天将张同休贬为岐山丞，将张昌仪贬为博望丞
突厥默啜既和亲，戊寅，始遣淮阳王武延秀还	突厥阿史那默啜已经与大唐宗室结亲，戊寅，突厥遣返淮阳王武延秀
九月，壬子，以姚元之充灵武道行军大总管；辛酉，以元之为灵武道安抚大使	九月，壬子，又任命姚元之为灵武道安抚大使
乙亥，以韦嗣立检校魏州刺史，余如故	乙亥，武则天任命韦嗣立为检校魏州刺史，其他职务不变
壬午，以怀州长史河南房融同平章事	壬午，武则天任命怀州长史河南人房融为同平章事
太后命宰相各举堪为员外郎者，韦嗣立荐广武公岑羲曰：但恨其伯父长倩为累	武则天命令宰相们各自举荐能够胜任员外郎职务的人，韦嗣立推荐了广武令岑羲，并说：只可惜他受到了他伯父岑长倩的连累
太后曰：苟或有才，此何所累	武则天说：只要有才干，这点事情又有什么可连累的
遂拜天官员外郎	于是任命岑羲为天官员外郎
由是诸缘坐者始得进用	从此那些因为亲属犯罪而受到牵连的人才开始能得到提拔任用
十一月，丁亥，以天官侍郎韦承庆为凤阁侍郎、同平章事	十一月，丁亥，武则天任命天官侍郎韦承庆为凤阁侍郎、同平章事
癸卯，成均祭酒、同凤阁鸾台三品李峤罢为地官尚书	癸卯，武则天免去成均祭酒、同凤阁鸾台三品李峤的职务，另外任命他为地官尚书
十二月，甲寅，敕大足已来新置官并停	十二月，甲寅，武则天颁下敕书，决定停设所有大足元年以来新设置的官职
丙辰，凤阁侍郎、同平章事韦嗣立罢为成均祭酒，检校魏州刺史如故；以兄承庆入相故也	丙辰，凤阁侍郎、同平章事韦嗣立被免去取务，改任成均祭酒，原任的检校魏州刺史职务仍保留；这是因为他的哥哥韦承庆已被任命为宰相的缘故
太后寝疾，居长生院，宰相不得见者累月，惟张易之、昌宗侍侧	武则天一病不起，一直住在长生院，只有张易之和张昌宗二人在身旁侍奉，宰相们无法与她相见已经几个月
疾少闲，崔玄奏言：皇太子、相王，仁明孝友，足侍汤药	当武则天的病情稍有好转的时候，崔玄上奏说：皇太子和相王，仁德彰明，孝顺母亲，友爱兄弟，完全可以在您身旁侍奉汤药
宫禁事重，伏愿不令异姓出入	皇宫是重地，事关重大，希望陛下不要让异姓人随意出入
太后曰：德卿厚意	武则天说：我十分感激您的厚意
易之、昌宗见太后疾笃，恐祸及己，引用党援，阴为之备	张易之、张昌宗见武则天病情十分严重，担心她死后自己大祸临头，便拉同伙援助自己，暗地里作准备
屡有人为飞书及榜其书于通衢，云易之兄弟谋反，太后皆不问	不断有人写匿名信和将匿名信张贴于通衢闹市，说张易之兄弟阴谋反叛，武则天对这些消息一概不闻不问
春，正月，壬午朔，赦天下，改元	春季，正月，壬午朔，武则天下诏赦免天下罪犯，改年号
自文明以来得罪者，非扬、豫、博三州及诸反逆魁首，咸赦除之	规定自文明元年以来犯罪的人，如果不是扬州、豫州、博州三州谋反案以及各种叛乱的罪魁祸首，都可以赦免他们的罪过
二月，辛亥，帝帅百官诣上阳宫问太后起居；自是每十日一往	二月，辛亥，唐中宗带领文武百官到上阳宫向武则天请安，问候她的日常生活状况；从此唐中宗每十天前来问候一次
乙卯，凤阁侍郎、同平章事韦承庆贬高要尉；正谏大夫、同平章事房融除名，流高州；司礼卿崔神庆流钦州	乙卯，唐中宗将凤阁侍郎、同平章事韦承庆贬为高要尉；将正谏大夫、同平章事房融除名并流放到高州；将司礼卿崔神庆流放到钦州
杨再思为户部尚书、同中书门下三品、西京留守	唐中宗又任命杨再思为户部尚书、同中书门下三品、西京留守
二张之诛也，洛州长史薛季昶谓张柬之、敬晖曰：二凶虽除，产、禄犹在，去草不去根，终当复生	张易之、张昌宗被诛灭后，洛州长史薛季昶对张柬之和敬晖说：张易之、张昌宗这两个元凶虽然已被铲除，但吕产、吕禄这样人还在朝中任职，锄草时不铲掉草根，终究还会长出草来
二人曰：大事已定，彼犹机上肉耳，夫何能为	张柬之、敬晖回答说：现在大局已定，你说的那些人不过是案板上的肉罢了，还能有什么作为
所诛已多，不可复益也	现在杀的人已经够多的了，不能再多杀了
季昶叹曰：吾不知死所矣	薛季昶叹口气说：我不知道将死在哪里了
朝邑尉武强刘幽求亦谓桓彦范、敬晖曰：武三思尚存，公辈终无葬地；若不早图，噬脐无及	朝邑尉武强人刘幽求也对桓彦范和敬晖说：武三思还没有受到惩处，你们这些人终究会死无葬身之地；如果现在不及早作准备，等到大祸临头再后悔就来不及了
不从	桓彦范和敬晖也没有采纳他的建议
左散骑常侍谯王重福，上之庶子也；其妃，张易之之甥	左散骑常侍谯王李重福，是唐中宗的庶子；他的妃子，是张易之的外甥女
韦后恶之，谮于上曰：重润之死，重福为之也	韦后讨厌李重福，便在中宗面前诬陷他说：李重润被迫自杀，是李重福在武则天面前诬陷所致
由是贬濮州员外刺史，又改均州刺史，常令州司防守之	唐中宗因此将李重福贬为濮州员外刺史，不久又改任他为均州刺史，并且常常命令州官对他严加防范
丁卯，以右散骑常侍安定王武攸暨为司徒、定王	丁卯，唐中宗任命右散骑常侍、安定王武攸暨为司徒、定王
辛未，相王固让太尉及知政事，许之；又立为皇太弟，相王固辞而止	辛未，相王李旦坚决要求辞去太尉及宰相职务，唐中宗同意了他的辞职请求；唐中宗又想立相王李旦为皇太弟，因相王坚决推辞而作罢
甲戌，以国子祭酒始平祝钦明同中书门下三品，黄门侍郎、知侍中事韦安石为刑部尚书，罢知政事	甲戌，唐中宗任命国子祭酒始平人祝钦明为同中书门下三品；任命黄门侍郎、知侍中事韦安石为刑部尚书，同时免去他的宰相职务
